,Channel Name,Username,Country Or Region,Url,Main topic,Main video category,Total Likes,Avg. Likes,Posts,Followers,Boost Index,Comments Avg.,Views Avg.,Avg. 1 Day,Avg. 3 Day,Avg. 7 Day,Avg. 14 Day,Avg. 30 Day,Engagement Rate,60-Day Eng Rate,Rank,Influence Score,New Post Avg. Likes
0,433,433,NetherlandsNetherlands,https://www.instagram.com/433,0,0,7235186846.11386,863448.1813186815,10319.0,50846051.0,79.0,4092.4105328472815,3232599.6691729324,519454.2,660923.1142857143,696233.234375,730624.5454545454,810461.4090909091,0.0138703957209599,0.0352951546209638,96.0,79.0,826.2k
1,5-minute crafts girly,5.min.crafts,United StatesUnited States,https://www.instagram.com/5.min.crafts,Trailers,Trailers,1741363178.3336408,157499.2095441595,14519.0,46618064.0,85.0,342.39361505812883,1289001.772372648,0.0,9366.6,10678.333333333334,14290.64705882353,13925.666666666666,0.0025793511925734,0.0013402270209613,122.0,85.0,60.4k
2,9gag,9gag,United States,https://www.instagram.com/9gag,Pets & Animals,Pets & Animals,5062668339.7249775,678711.3186489217,10021.0,58181054.0,86.0,5559.041481316726,3613240.0659955256,202474.75,227477.06666666668,221743.56756756757,258582.8,268979.2948717949,0.0087789088885832,0.0046683080048543,0.0,0.0,0
3,addisonraee,addisonraee,0,https://www.instagram.com/addisonraee,Gaming,Gaming,731206196.7218543,3150451.0,626.0,40402560.0,85.0,8362.427152317881,6400652.176470588,0.0,1349907.0,1009004.0,1026147.1111111112,1214530.0,0.0608235746200226,0.0550116643224507,155.0,85.0,851.5k
4,adele,adele,United StatesUnited States,https://www.instagram.com/adele,0,0,1411415903.4366198,4739484.5,841.0,50542177.0,84.0,32030.802816901407,15396176.307692308,0.0,2211066.0,2766306.0,2392644.25,2392644.25,0.0675205757587189,0.0921485077745656,101.0,84.0,1.6m
5,adidasoriginals,adidasoriginals,0,https://www.instagram.com/adidasoriginals,0,0,30673902.15587045,151286.6,439.0,34246782.0,83.0,667.1032388663967,427704.7,176516.0,100398.0,87087.25,83506.0,79206.0,0.0034338340306642,0.0040140179342872,190.0,83.0,66.8k
6,akshaykumar,akshaykumar,0,https://www.instagram.com/akshaykumar,Entertainment,Entertainment,2200303385.06422,1516770.0,1860.0,62614053.0,85.0,7210.882568807339,4092468.353658536,0.0,265974.0,341912.0,391342.6666666667,572411.625,0.01900901740256,0.023576863477011198,66.0,85.0,631.4k
7,aliaabhatt,aliaabhatt,IndiaIndia,https://www.instagram.com/aliaabhatt,Entertainment,Entertainment,2402387529.744463,1759431.125,1820.0,67428908.0,82.0,6892.528109028961,3586775.894117647,568946.0,1716864.5,2220579.6666666665,3554326.0,2127322.75,0.0196990789763926,0.05835082469462,48.0,82.0,1.2m
8,andresiniesta8,andresiniesta8,SpainSpain,https://www.instagram.com/andresiniesta8,Fashion & Beauty,Fashion & Beauty,435955881.33676976,250762.07142857145,1977.0,39745058.0,85.0,715.553264604811,519624.8571428571,0.0,68488.0,97259.25,217431.125,175277.8125,0.0055802417292508,0.0080979608073302,154.0,85.0,161.7k
9,anitta,anitta,United StatesUnited States,https://www.instagram.com/anitta,0,0,3236456276.9838166,857234.1124999999,5091.0,62896138.0,82.0,7632.5947403911,2681297.324110672,0.0,313134.5,426274.5,420654.28571428574,414450.1538461539,0.0102353945028685,0.018756384234057802,68.0,82.0,595.7k
