,Username,Channel Name,Country Or Region,Url,Main topic,Main video category,Total Likes,Avg. Likes,Posts,Followers,Boost Index,Comments Avg.,Views Avg.,Avg. 1 Day,Avg. 3 Day,Avg. 7 Day,Avg. 14 Day,Avg. 30 Day,Engagement Rate,60-Day Eng Rate,Rank,Influence Score,New Post Avg. Likes
0,cristiano,cristiano,ES,https://www.instagram.com/cristiano,Sports,Sports,22876451727.2491,8671952.6875,3328.0,465027234.0,92.0,51758.33092659446,17009493.6,,,3321113.0,5327340.25,6948658.866666666,0.0149155921900756,0.0159030927931213,,,
1,kyliejenner,kyliejenner,US,https://www.instagram.com/kyliejenner,,,43048545078.884834,8296735.662500001,6921.0,356687629.0,91.0,47534.12096106048,22875472.888888888,,,1223002.0,2196528.5,4692458.947368421,0.0176172152549418,0.0161886350096952,,,
2,leomessi,leomessi,,https://www.instagram.com/leomessi,,,4670492197.167756,6895177.8125,875.0,347032978.0,90.0,47044.540305010894,11761596.36893204,,4810554.0,3199807.0,5359468.6,5668453.857142857,0.015533561657092,0.0190450212750402,,,
3,selenagomez,selenagomez,US,https://www.instagram.com/selenagomez,,,8442642602.700295,6252711.416666667,1835.0,334551681.0,93.0,39167.115727002965,10723973.0,,,,2340219.0,2340219.0,0.0139126869029708,0.0077196615835974,,,
4,therock,therock,US,https://www.instagram.com/therock,,,9562231242.147408,1874150.5038461536,6660.0,327064138.0,91.0,8529.747042766152,5413831.362873134,,,713970.0,1101338.5555555555,1165227.3846153845,0.0044259384268964,0.0037225454671269,,,
5,kimkardashian,kimkardashian,US,https://www.instagram.com/kimkardashian,,,14920061390.578411,3536820.0625,5603.0,323090977.0,91.0,16964.807439824945,9642516.175438596,,2583151.0,2699977.6666666665,2704005.272727273,2586789.375,0.0083036448285169,0.0096888634520251,,,
6,arianagrande,arianagrande,US,https://www.instagram.com/arianagrande,,,14762818149.337849,3712125.9285714286,4961.0,321374794.0,92.0,19077.731583403896,6654929.029801325,,,3813109.0,3813109.0,3384398.0,0.0093256767297369,0.0101579095640005,,,
7,beyonce,beyonce,US,https://www.instagram.com/beyonce,,,5779974409.281899,3627594.6666666665,2036.0,267023539.0,92.0,24558.145400593472,8767897.17142857,,,4311158.0,4311158.0,1686724.1538461538,0.0107577041435847,0.0067705433500347,,,
8,khloekardashian,khloekardashian,US,https://www.instagram.com/khloekardashian,Sports,Sports,6914667302.569231,2391194.0,4092.0,260359924.0,89.0,10442.21153846154,7593868.457142857,,,,,,0.0065565040472791,0.0031117441866369,,,
9,kendalljenner,kendalljenner,US,https://www.instagram.com/kendalljenner,,,2743201319.5703325,5520992.5,666.0,247599374.0,90.0,21191.329923273657,14428678.314285714,,6702150.0,6347174.5,5977548.25,5058515.428571428,0.0167289360056751,0.0193389815470684,,,
10,justinbieber,justinbieber,CA,https://www.instagram.com/justinbieber,,,11114108294.35566,1887637.6785714289,7305.0,247448517.0,91.0,10084.746268656716,4337923.862934363,,,,,1415614.875,0.0061909883400308,0.0040423175168191,,,
11,natgeo,natgeo,US,https://www.instagram.com/natgeo,Education,Education,2521782123.105974,304664.0,10002.0,232020700.0,91.0,1225.2342857142858,2345345.4444444445,58181.0,95034.3,111805.92307692308,138451.37735849057,158992.71028037384,0.0010919625970223,0.0007261997482379,,,
12,nike,nike,US,https://www.instagram.com/nike,Sports,Sports,298611326.8387097,333382.0,932.0,228524022.0,90.0,5520.935483870968,2638441.2735849055,,,300163.3333333333,273080.0,236986.66666666663,0.0014312255747742,0.0007551843648689,,,
13,taylorswift,taylorswift,US,https://www.instagram.com/taylorswift,,,1037365487.68,2397441.0,537.0,218097325.0,91.0,334.73,7916979.966666667,,,,2049206.0,2049206.0,0.0088643626685006,0.017282584056588,,,
14,jlo,jlo,US,https://www.instagram.com/jlo,Music,Music,4015633611.2335486,1691841.5,3151.0,217547805.0,89.0,11942.84,6363148.909937888,,,,688847.0,812984.6,0.0059140661250396,0.0054101553807396,,,
15,virat.kohli,virat.kohli,,https://www.instagram.com/virat.kohli,Education,Education,3592490224.8141594,3472381.5,1390.0,206743723.0,87.0,18090.06725663717,4841319.094240838,,,2740001.0,2874632.0,2210917.5,0.0126033886462027,0.0113492347288479,,,
16,nickiminaj,nickiminaj,US,https://www.instagram.com/nickiminaj,Trailers,Trailers,10280946999.02109,2161401.25,6327.0,197697257.0,90.0,19624.634446397187,6688655.284974094,,,,,,0.0083253495821873,0.0063362570713985,,,
17,kourtneykardash,kourtneykardash,US,https://www.instagram.com/kourtneykardash,,,6239027312.050234,1767538.4642857143,4349.0,188868254.0,89.0,6616.927570093458,5363247.323529412,,,,916201.0,1118825.75,0.0076387718497473,0.0126069938627344,,,
